"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport) WHERE (n1.death=0) OR (n1.name=""Steve Austin"") OR (n2.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:writer:death_0)-[:ACTED_IN]->(n2:sport), (n1:writer:death_0)-[:ACTED_IN]->(n3:sport)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport:video), (n1:writer)-[:ACTED_IN]->(n3:sport)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:writer:death_0)-[:ACTED_IN]->(n2:sport), (n1:writer:death_0)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:writer:death_0)-[:ACTED_IN]->(n2:sport:video), (n1:writer:death_0)-[:ACTED_IN]->(n3:sport)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport:video), (n1:writer)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:writer:death_0)-[:ACTED_IN]->(n2:sport:video), (n1:writer:death_0)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"21123015";"91322850";"19186.1"
"MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure) WHERE (n2.category=""movie"") OR (n3.death=0) OR (n3.name=""Jerry Bruckheimer"") RETURN count(n1)";"CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:music_department:death_0)-[:PRODUCED]->(n2:action), (n3:producer:death_0)-[:ACTED_IN]->(n1:adventure)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:music_department:death_0)-[:PRODUCED]->(n2:action:movie), (n3:producer:death_0)-[:ACTED_IN]->(n1:adventure)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:music_department:death_0)-[:PRODUCED]->(n2:action), (n3:producer:death_0)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:music_department:death_0)-[:PRODUCED]->(n2:action:movie), (n3:producer:death_0)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"159";"1684932";"1429.0"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.name=""Kai Normann Andersen"") OR (n3.year=1948) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:year_1948:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama:year_1948:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"1455429";"20631135";"4636.6"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:war), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n3.name=""Li Gong"") OR (n1.year=2000) OR (n4.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama)
  WHERE n3.name=""Li Gong""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war:year_2000), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama:movie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war:year_2000), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama)
  WHERE n3.name=""Li Gong""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama:movie)
  WHERE n3.name=""Li Gong""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war:year_2000), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:war:year_2000), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama:movie)
  WHERE n3.name=""Li Gong""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"1307109";"57435558";"10117.2"
"MATCH (n2:actress)-[:ACTED_IN]->(n1:drama), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy) WHERE (n3.year=1989) OR (n1.year=1993) OR (n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy:year_1989)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:year_1993), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:year_1993), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy:year_1989)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy:year_1989)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:year_1993:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:year_1993:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy:year_1989)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"3438519";"56185402";"11111.0"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:director)-[:ACTED_IN]->(n1:horror), (n2:soundtrack)-[:ACTED_IN]->(n4:music) WHERE (n2.name=""Juliette Lewis"") OR (n2.death=0) OR (n1.year=1996) RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:director)-[:ACTED_IN]->(n1:horror), (n2:soundtrack)-[:ACTED_IN]->(n4:music)
  WHERE n2.name=""Juliette Lewis""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director:death_0)-[:ACTED_IN]->(n3:drama), (n2:director:death_0)-[:ACTED_IN]->(n1:horror), (n2:soundtrack:death_0)-[:ACTED_IN]->(n4:music)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:director)-[:ACTED_IN]->(n1:horror:year_1996), (n2:soundtrack)-[:ACTED_IN]->(n4:music)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:director:death_0)-[:ACTED_IN]->(n3:drama), (n2:director:death_0)-[:ACTED_IN]->(n1:horror), (n2:soundtrack:death_0)-[:ACTED_IN]->(n4:music)
  WHERE n2.name=""Juliette Lewis""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:director)-[:ACTED_IN]->(n1:horror:year_1996), (n2:soundtrack)-[:ACTED_IN]->(n4:music)
  WHERE n2.name=""Juliette Lewis""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:director:death_0)-[:ACTED_IN]->(n3:drama), (n2:director:death_0)-[:ACTED_IN]->(n1:horror:year_1996), (n2:soundtrack:death_0)-[:ACTED_IN]->(n4:music)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:director:death_0)-[:ACTED_IN]->(n3:drama), (n2:director:death_0)-[:ACTED_IN]->(n1:horror:year_1996), (n2:soundtrack:death_0)-[:ACTED_IN]->(n4:music)
  WHERE n2.name=""Juliette Lewis""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"18427626";"94094059";"10760.0"
"MATCH (n4:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n1.year=1972) OR (n4.death=0) OR (n2.year=1972) RETURN count(n1)";"CALL () {
  MATCH (n4:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n1:comedy:year_1972)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actress:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress:death_0)-[:ACTED_IN]->(n2:drama), (n4:actress:death_0)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress)-[:ACTED_IN]->(n2:drama:year_1972), (n4:actress)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:actress:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress:death_0)-[:ACTED_IN]->(n2:drama), (n4:actress:death_0)-[:ACTED_IN]->(n1:comedy:year_1972)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress)-[:ACTED_IN]->(n2:drama:year_1972), (n4:actress)-[:ACTED_IN]->(n1:comedy:year_1972)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:actress:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress:death_0)-[:ACTED_IN]->(n2:drama:year_1972), (n4:actress:death_0)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:actress:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress:death_0)-[:ACTED_IN]->(n2:drama:year_1972), (n4:actress:death_0)-[:ACTED_IN]->(n1:comedy:year_1972)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"28986109";"1620166672";"225782.4"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:talk_show), (n1:director)-[:ACTED_IN]->(n2:comedy) WHERE (n2.year=2005 AND n1.name=""Shannen Doherty"") OR (n1.death=0 AND n2.category=""tvSpecial"") RETURN count(n1)";"CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:talk_show), (n1:director)-[:ACTED_IN]->(n2:comedy:year_2005)
  WHERE n1.name=""Shannen Doherty""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:talk_show), (n1:director:death_0)-[:ACTED_IN]->(n2:comedy:tvSpecial)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:talk_show), (n1:director:death_0)-[:ACTED_IN]->(n2:comedy:year_2005:tvSpecial)
  WHERE n1.name=""Shannen Doherty""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"11270";"842854";"351.5"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:comedy), (n3:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n2.year=1972 AND n3.name=""Danica Acimac"") OR (n1.year=1959 AND n3.birth=1928) RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:comedy:year_1972), (n3:actress)-[:ACTED_IN]->(n1:comedy)
  WHERE n3.name=""Danica Acimac""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress:birth_1928)-[:ACTED_IN]->(n2:comedy), (n3:actress:birth_1928)-[:ACTED_IN]->(n1:comedy:year_1959)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress:birth_1928)-[:ACTED_IN]->(n2:comedy:year_1972), (n3:actress:birth_1928)-[:ACTED_IN]->(n1:comedy:year_1959)
  WHERE n3.name=""Danica Acimac""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"3404";"215099";"117.7"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:adventure), (n2:actor)-[:ACTED_IN]->(n3:animation) WHERE (n1.year=2011 AND n3.category=""short"") OR (n3.year=1999 AND n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:actor)-[:ACTED_IN]->(n1:adventure:year_2011), (n2:actor)-[:ACTED_IN]->(n3:animation:short)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actor:death_0)-[:ACTED_IN]->(n1:adventure), (n2:actor:death_0)-[:ACTED_IN]->(n3:animation:year_1999)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actor:death_0)-[:ACTED_IN]->(n1:adventure:year_2011), (n2:actor:death_0)-[:ACTED_IN]->(n3:animation:short:year_1999)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"1854502";"36825184";"6472.2"
"MATCH (n1:actor)-[:PRODUCED]->(n3:comedy), (n1:director)-[:PRODUCED]->(n2:comedy) WHERE (n1.death=1923 AND n1.name=""Siegmund Lubin"") OR (n2.category=""short"" AND n2.year=1908) RETURN count(n1)";"CALL () {
  MATCH (n1:actor:death_1923)-[:PRODUCED]->(n3:comedy), (n1:director:death_1923)-[:PRODUCED]->(n2:comedy)
  WHERE n1.name=""Siegmund Lubin""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actor)-[:PRODUCED]->(n3:comedy), (n1:director)-[:PRODUCED]->(n2:comedy:short:year_1908)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actor:death_1923)-[:PRODUCED]->(n3:comedy), (n1:director:death_1923)-[:PRODUCED]->(n2:comedy:short:year_1908)
  WHERE n1.name=""Siegmund Lubin""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"1353732";"11980623";"1402.3"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:fantasy), (n3:soundtrack)-[:ACTED_IN]->(n2:musical) WHERE (n2.category=""movie"" AND n3.name=""Ginger Rogers"") OR (n1.category=""movie"" AND n2.year=1936) RETURN count(n1)";"CALL () {
  MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:fantasy), (n3:soundtrack)-[:ACTED_IN]->(n2:musical:movie)
  WHERE n3.name=""Ginger Rogers""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:fantasy:movie), (n3:soundtrack)-[:ACTED_IN]->(n2:musical:year_1936)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:fantasy:movie), (n3:soundtrack)-[:ACTED_IN]->(n2:musical:movie:year_1936)
  WHERE n3.name=""Ginger Rogers""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"176";"305639";"198.4"
"MATCH (n1:producer)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n1.death=0) OR (n2.year=2015 AND n3.year=2011) RETURN count(n1)";"CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n3:adult:video), (n1:actress:death_0)-[:ACTED_IN]->(n2:adult)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n3:adult:year_2011), (n1:actress)-[:ACTED_IN]->(n2:adult:year_2015)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n3:adult:video:year_2011), (n1:actress:death_0)-[:ACTED_IN]->(n2:adult:year_2015)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"3241401";"14974965";"2762.0"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:comedy), (n3:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.name=""Heinrich Schafmeister"" AND n2.year=1997) OR (n3.death=0 AND n1.year=2007) RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:comedy), (n3:actor)-[:ACTED_IN]->(n2:comedy:year_1997)
  WHERE n3.name=""Heinrich Schafmeister""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor:death_0)-[:ACTED_IN]->(n1:comedy:year_2007), (n3:actor:death_0)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:death_0)-[:ACTED_IN]->(n1:comedy:year_2007), (n3:actor:death_0)-[:ACTED_IN]->(n2:comedy:year_1997)
  WHERE n3.name=""Heinrich Schafmeister""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"23233245";"102929161";"22432.7"
"MATCH (n2:director)-[:DIRECTED]->(n4:drama), (n2:writer)-[:DIRECTED]->(n3:drama), (n2:assistant_director)-[:DIRECTED]->(n1:comedy) WHERE (n2.name=""Meri Anjaparidze"" AND n3.year=1964) OR (n1.year=1964 AND n2.death=1980) RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:DIRECTED]->(n4:drama), (n2:writer)-[:DIRECTED]->(n3:drama:year_1964), (n2:assistant_director)-[:DIRECTED]->(n1:comedy)
  WHERE n2.name=""Meri Anjaparidze""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director:death_1980)-[:DIRECTED]->(n4:drama), (n2:writer:death_1980)-[:DIRECTED]->(n3:drama), (n2:assistant_director:death_1980)-[:DIRECTED]->(n1:comedy:year_1964)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director:death_1980)-[:DIRECTED]->(n4:drama), (n2:writer:death_1980)-[:DIRECTED]->(n3:drama:year_1964), (n2:assistant_director:death_1980)-[:DIRECTED]->(n1:comedy:year_1964)
  WHERE n2.name=""Meri Anjaparidze""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"6";"49187";"72.8"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:comedy), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n3.name=""L̩lia Abramo"" AND n4.year=1965) OR (n3.death=2004 AND n1.year=1973) RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:comedy), (n3:actress)-[:ACTED_IN]->(n4:drama:year_1965)
  WHERE n3.name=""L̩lia Abramo""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress:death_2004)-[:ACTED_IN]->(n1:drama:year_1973), (n3:actress:death_2004)-[:ACTED_IN]->(n2:comedy), (n3:actress:death_2004)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress:death_2004)-[:ACTED_IN]->(n1:drama:year_1973), (n3:actress:death_2004)-[:ACTED_IN]->(n2:comedy), (n3:actress:death_2004)-[:ACTED_IN]->(n4:drama:year_1965)
  WHERE n3.name=""L̩lia Abramo""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"4735303";"15365549";"1725.4"
"MATCH (n2:director)-[:DIRECTED]->(n3:drama), (n2:actor)-[:WROTE]->(n1:western) WHERE (n2.name=""Samuel Fuller"" AND n3.year=1982) OR (n1.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:DIRECTED]->(n3:drama:year_1982), (n2:actor)-[:WROTE]->(n1:western)
  WHERE n2.name=""Samuel Fuller""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:DIRECTED]->(n3:drama:movie), (n2:actor)-[:WROTE]->(n1:western:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:DIRECTED]->(n3:drama:year_1982:movie), (n2:actor)-[:WROTE]->(n1:western:movie)
  WHERE n2.name=""Samuel Fuller""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"3136";"283720";"138.6"
"MATCH (n1:composer)-[:ACTED_IN]->(n3:documentary), (n1:composer)-[:ACTED_IN]->(n2:music) WHERE (n1.name=""Marty Stuart"" AND n1.death=0) OR (n3.year=2005 AND n2.year=2016) RETURN count(n1)";"CALL () {
  MATCH (n1:composer:death_0)-[:ACTED_IN]->(n3:documentary), (n1:composer:death_0)-[:ACTED_IN]->(n2:music)
  WHERE n1.name=""Marty Stuart""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:composer)-[:ACTED_IN]->(n3:documentary:year_2005), (n1:composer)-[:ACTED_IN]->(n2:music:year_2016)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:composer:death_0)-[:ACTED_IN]->(n3:documentary:year_2005), (n1:composer:death_0)-[:ACTED_IN]->(n2:music:year_2016)
  WHERE n1.name=""Marty Stuart""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"3032";"1370621";"1333.5"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n2:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:drama) WHERE (n3.year=1926 AND n2.birth=1884) OR (n2.death=1955 AND n1.year=1922) RETURN count(n1)";"CALL () {
  MATCH (n2:cinematographer:birth_1884)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n2:camera_department:birth_1884)-[:CINEMATOGRAPHER_OF]->(n3:drama:year_1926)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:cinematographer:death_1955)-[:CINEMATOGRAPHER_OF]->(n1:drama:year_1922), (n2:camera_department:death_1955)-[:CINEMATOGRAPHER_OF]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:cinematographer:birth_1884:death_1955)-[:CINEMATOGRAPHER_OF]->(n1:drama:year_1922), (n2:camera_department:birth_1884:death_1955)-[:CINEMATOGRAPHER_OF]->(n3:drama:year_1926)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"341";"9525";"40.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n4:biography), (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n4.year=1958 AND n1.death=1970) OR (n2.year=1967 AND n1.birth=1927) RETURN count(n1)";"CALL () {
  MATCH (n1:actress:death_1970)-[:ACTED_IN]->(n4:biography:year_1958), (n1:actress:death_1970)-[:ACTED_IN]->(n3:drama), (n1:actress:death_1970)-[:ACTED_IN]->(n2:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress:birth_1927)-[:ACTED_IN]->(n4:biography), (n1:actress:birth_1927)-[:ACTED_IN]->(n3:drama), (n1:actress:birth_1927)-[:ACTED_IN]->(n2:drama:year_1967)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress:death_1970:birth_1927)-[:ACTED_IN]->(n4:biography:year_1958), (n1:actress:death_1970:birth_1927)-[:ACTED_IN]->(n3:drama), (n1:actress:death_1970:birth_1927)-[:ACTED_IN]->(n2:drama:year_1967)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"20411";"272511";"99.1"
