"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1)";"MATCH (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n3:drama), (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n1:game_show) RETURN count(n1)";"A AND B";"-";"100%";"2107";"27423221";"3970.2"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1)";"MATCH (n1:actress:birth_1957)-[:ACTED_IN]->(n3:drama), (n1:actress:birth_1957)-[:ACTED_IN]->(n2:drama:year_1987) RETURN count(n1)";"A AND B";"-";"100%";"415249";"21346626";"2718.6"
"MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1)";"MATCH (n4:music_department:birth_1911)-[:COMPOSED]->(n2:documentary), (n4:soundtrack:birth_1911)-[:COMPOSED]->(n1:documentary), (n4:soundtrack:birth_1911)-[:COMPOSED]->(n3:sport:year_1950) RETURN count(n1)";"A AND B";"-";"100%";"11470";"20729863";"3403.3"
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";"MATCH (n3:producer:birth_1905)-[:DIRECTED]->(n1:animation), (n3:director:birth_1905)-[:DIRECTED]->(n2:animation:short) RETURN count(n1)";"A AND B";"-";"100%";"551";"20770166";"3171.9"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult:video), (n1:actor)-[:ACTED_IN]->(n2:adult:video) RETURN count(n1)";"A AND B";"-";"100%";"91844700";"585547384";"72780.4"
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller:tvMovie), (n1:soundtrack)-[:ACTED_IN]->(n2:drama:movie) RETURN count(n1)";"A AND B";"-";"100%";"131";"20768477";"3112.3"
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";"MATCH (n2:director:death_1972)-[:ACTED_IN]->(n1:adventure), (n2:director:death_1972)-[:ACTED_IN]->(n3:romance:movie) RETURN count(n1)";"A AND B";"-";"100%";"2717";"23221090";"3377.8"
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";"MATCH (n3:music_department:death_2005)-[:COMPOSED]->(n1:romance:movie), (n3:music_department:death_2005)-[:COMPOSED]->(n2:documentary) RETURN count(n1)";"A AND B";"-";"100%";"84";"20315446";"2880.6"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";"A AND B";"A";"50%";"22780";"22016029";"2648.2"
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music:video) WHERE (n2.name=""Bob Geldof"") RETURN count(n1)";"A AND B";"A";"50%";"27956";"22579791";"3902.5"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary:year_2007), (n1:actor)-[:ACTED_IN]->(n3:adventure:movie) RETURN count(n1)";"A AND B";"-";"100%";"9277";"28589483";"5031.4"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy:tvSeries:year_1957), (n1:actor)-[:ACTED_IN]->(n2:comedy) RETURN count(n1)";"A AND B";"-";"100%";"36038";"20055741";"2305.7"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";"MATCH (n2:director)-[:ACTED_IN]->(n3:drama:year_1990), (n2:actor)-[:ACTED_IN]->(n1:war:tvMovie) RETURN count(n1)";"A AND B";"-";"100%";"481";"20035071";"2249.2"
