"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller:tvMovie), (n1:soundtrack)-[:ACTED_IN]->(n2:drama:movie) RETURN count(n1)";"A AND B";"-";"100%";"131";"168235";"183.1"
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";"MATCH (n2:director:death_1972)-[:ACTED_IN]->(n1:adventure), (n2:director:death_1972)-[:ACTED_IN]->(n3:romance:movie) RETURN count(n1)";"A AND B";"-";"100%";"2717";"32086";"25.4"
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";"MATCH (n3:music_department:death_2005)-[:COMPOSED]->(n1:romance:movie), (n3:music_department:death_2005)-[:COMPOSED]->(n2:documentary) RETURN count(n1)";"A AND B";"-";"100%";"84";"18733";"27.1"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";"A AND B";"A";"50%";"22780";"1027384";"126.9"
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music:video) WHERE (n2.name=""Bob Geldof"") RETURN count(n1)";"A AND B";"A";"50%";"27956";"220130";"51.4"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary:year_2007), (n1:actor)-[:ACTED_IN]->(n3:adventure:movie) RETURN count(n1)";"A AND B";"-";"100%";"9277";"8747917";"3499.5"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy:tvSeries:year_1957), (n1:actor)-[:ACTED_IN]->(n2:comedy) RETURN count(n1)";"A AND B";"-";"100%";"36038";"216064";"102.2"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";"MATCH (n2:director)-[:ACTED_IN]->(n3:drama:year_1990), (n2:actor)-[:ACTED_IN]->(n1:war:tvMovie) RETURN count(n1)";"A AND B";"-";"100%";"481";"186580";"99.3"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy:year_2007:tvSpecial) RETURN count(n1)";"A AND B";"-";"100%";"5491";"196453";"123.8"
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:documentary:year_2016) RETURN count(n1)";"A AND B";"-";"100%";"54953";"19866800";"6022.2"
