kueri asal;kueri numerik;filter pertama
MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult)-[:HAS_CATEGORY]->(:video), (n1:actor)-[:ACTED_IN]->(n2:adult)-[:HAS_CATEGORY]->(:video) RETURN count(n1);MATCH (n1:613,186) -[3,852,407]-[783,767]-> (n4:222,819), (n1:560,717) -[562,157]-[11,023]-> (n3:222,819) -[222,819]-[265,757]-> (:1), (n1:1,263,984) -[11,460,681]-[783,767]-> (n2:222,819) -[222,819]-[265,757]-> (:1) RETURN count(n1);:video
MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller)-[:HAS_CATEGORY]->(:tvMovie), (n1:soundtrack)-[:ACTED_IN]->(n2:drama)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);MATCH (n1:767,812) -[109,240]-[284,671]-> (n3:644,609), (n1:99,799) -[3,260,775]-[472,757]-> (n4:124,666) -[124,666]-[116,975]-> (:1), (n1:99,799) -[3,260,775]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[492,210]-> (:1) RETURN count(n1);:tvMovie
MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance)-[:HAS_CATEGORY]->(:movie) , (n2:director)-[:DIED_IN]->(:year_1972) RETURN count(n1);MATCH (n2:560,717) -[2,315,792]-[1,056,053]-> (n1:273,401), (n2:560,717) -[2,315,792]-[2,907,409]-> (n3:644,609) -[644,609]-[492,210]-> (:1) , (n2:560,717) -[560,717]-[1,075]-> (:1) RETURN count(n1);:movie
MATCH (n3:music_department)-[:COMPOSED]->(n1:romance)-[:HAS_CATEGORY]->(:movie), (n3:music_department)-[:COMPOSED]->(n2:documentary) , (n3:music_department)-[:DIED_IN]->(:year_2005) RETURN count(n1);MATCH (n3:76,607) -[955,171]-[127,344]-> (n1:644,609) -[644,609]-[492,210]-> (:1), (n3:76,607) -[955,171]-[152,376]-> (n2:618,520) , (n3:76,607) -[76,607]-[2,348]-> (:1) RETURN count(n1);:movie
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport)-[:HAS_CATEGORY]->(:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:1,263,984) -[11,460,681]-[371,509]-> (n1:137,057), (n2:1,263,984) -[11,460,681]-[371,509]-> (n3:137,057), (n2:21,182) -[172,580]-[371,509]-> (n4:137,057) -[137,057]-[26,082]-> (:1) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";:tvSpecial
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:video) WHERE (n2.name=""Bob Geldof"") RETURN count(n1)";"MATCH (n2:248,066) -[477,897]-[1,199,835]-> (n4:356,267), (n2:99,799) -[3,260,775]-[827,125]-> (n3:618,520), (n2:248,066) -[477,897]-[1,199,835]-> (n1:356,267) -[356,267]-[265,757]-> (:1) WHERE (n2.name=""Bob Geldof"") RETURN count(n1)";:video
MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:RELEASED_IN]->(:year_2007), (n1:actor)-[:ACTED_IN]->(n3:adventure)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520) -[618,520]-[154,677]-> (:1), (n1:1,263,984) -[11,460,681]-[1,056,053]-> (n3:273,401) -[273,401]-[492,210]-> (:1) RETURN count(n1);:year_2007
MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n1:actor)-[:ACTED_IN]->(n2:comedy) , (n3:comedy)-[:RELEASED_IN]->(:year_1957) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n3:1,479,294) -[1,479,294]-[162,227]-> (:1), (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n2:1,479,294) , (n3:1,479,294) -[1,479,294]-[12,315]-> (:1) RETURN count(n1);:tvSeries
MATCH (n2:director)-[:ACTED_IN]->(n3:drama)-[:RELEASED_IN]->(:year_1990), (n2:actor)-[:ACTED_IN]->(n1:war)-[:HAS_CATEGORY]->(:tvMovie) RETURN count(n1);MATCH (n2:560,717) -[2,315,792]-[8,160,487]-> (n3:1,984,332) -[1,984,332]-[36,334]-> (:1), (n2:1,263,984) -[11,460,681]-[95,675]-> (n1:26,911) -[26,911]-[116,975]-> (:1) RETURN count(n1);:year_1990
MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy)-[:RELEASED_IN]->(:year_2007) , (n4:comedy)-[:HAS_CATEGORY]->(:tvSpecial) RETURN count(n1);MATCH (n2:1,263,984) -[11,460,681]-[827,125]-> (n1:618,520), (n3:683,795) -[3,960,419]-[827,125]-> (n1:618,520), (n3:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) -[1,479,294]-[154,677]-> (:1) , (n4:1,479,294) -[1,479,294]-[26,082]-> (:1) RETURN count(n1);:year_2007
MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show)-[:HAS_CATEGORY]->(:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:documentary)-[:RELEASED_IN]->(:year_2016) RETURN count(n1);MATCH (n3:683,795) -[3,960,419]-[1,056,053]-> (n4:273,401), (n3:683,795) -[3,960,419]-[1,979,368]-> (n2:773,293) -[773,293]-[162,227]-> (:1), (n3:1,263,984) -[11,460,681]-[827,125]-> (n1:618,520) -[618,520]-[315,054]-> (:1) RETURN count(n1);:tvSeries
MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary)-[:RELEASED_IN]->(:year_1899) , (n2:cinematographer)-[:DIED_IN]->(:year_1933) RETURN count(n1);MATCH (n2:284,302) -[1,367,616]-[13,630]-> (n1:408,975), (n2:613,186) -[179,006]-[232,968]-> (n3:618,520) -[618,520]-[1,011]-> (:1) , (n2:284,302) -[284,302]-[314]-> (:1) RETURN count(n1);:year_1899
MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama)-[:RELEASED_IN]->(:year_2008), (n3:producer)-[:WROTE]->(n1:drama) , (n3:producer)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n3:613,186) -[2,464,941]-[40,037]-> (n2:137,057), (n3:683,795) -[607,136]-[996,207]-> (n4:1,984,332) -[1,984,332]-[166,310]-> (:1), (n3:613,186) -[2,014,325]-[2,854,122]-> (n1:1,984,332) , (n3:613,186) -[613,186]-[3,453,973]-> (:1) RETURN count(n1);:year_2008
MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary)-[:RELEASED_IN]->(:year_2004), (n3:producer)-[:ACTED_IN]->(n2:thriller) , (n3:writer)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n3:683,795) -[3,960,419]-[827,125]-> (n1:618,520), (n3:1,263,984) -[11,460,681]-[827,125]-> (n4:618,520) -[618,520]-[110,667]-> (:1), (n3:613,186) -[3,852,407]-[472,757]-> (n2:124,666) , (n3:683,795) -[683,795]-[3,453,973]-> (:1) RETURN count(n1);:year_2004
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary)-[:RELEASED_IN]->(:year_2011), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"") RETURN count(n1)";"MATCH (n3:613,186) -[42,086]-[45,518]-> (n2:618,520) -[618,520]-[230,219]-> (:1), (n3:560,717) -[27,118]-[45,518]-> (n1:618,520) WHERE (n3.name=""Bernardo Bertolucci"") RETURN count(n1)";:year_2011
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show)-[:RELEASED_IN]->(:year_2009) WHERE (n3.name=""John Sayles"") RETURN count(n1)";"MATCH (n3:1,263,984) -[11,460,681]-[1,264,641]-> (n2:312,629), (n3:560,717) -[4,398,352]-[2,082,743]-> (n1:1,984,332), (n3:1,263,984) -[11,460,681]-[1,979,368]-> (n4:773,293) -[773,293]-[178,162]-> (:1) WHERE (n3.name=""John Sayles"") RETURN count(n1)";:year_2009
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary)-[:HAS_CATEGORY]->(:video) , (n3:music_department)-[:BORN_IN]->(:year_1937) WHERE (n3.name=""Philip Glass"") RETURN count(n1)";"MATCH (n3:76,607) -[955,171]-[152,376]-> (n2:618,520), (n3:76,607) -[955,171]-[152,376]-> (n1:618,520) -[618,520]-[265,757]-> (:1) , (n3:76,607) -[76,607]-[3,043]-> (:1) WHERE (n3.name=""Philip Glass"") RETURN count(n1)";:video
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy)-[:HAS_CATEGORY]->(:movie) , (n2:director)-[:BORN_IN]->(:year_1893) WHERE (n2.name=""John McDermott"") RETURN count(n1)";"MATCH (n2:560,717) -[2,315,792]-[5,776,115]-> (n3:1,479,294), (n2:1,263,984) -[878,695]-[1,668,482]-> (n1:1,479,294) -[1,479,294]-[492,210]-> (:1) , (n2:560,717) -[560,717]-[1,105]-> (:1) WHERE (n2.name=""John McDermott"") RETURN count(n1)";:movie
