kueri asal;kueri numerik;filter pertama
MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1);MATCH (n3:613,186) -[3,852,407]-[559,487]-> (n2:155,302), (n3:1,263,984) -[11,460,681]-[2,907,409]-> (n1:644,609), (n3:683,795) -[3,960,419]-[8,160,487]-> (n4:1,984,332) WHERE (n4.29,538) RETURN count(n1);n2:fantasy
MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1);MATCH (n4:560,717) -[2,315,792]-[1,979,368]-> (n3:773,293), (n4:613,186) -[1,743,713]-[1,126,831]-> (n2:1,479,294), (n4:613,186) -[1,743,713]-[2,082,743]-> (n1:1,984,332) WHERE (n2.624,693) RETURN count(n1);n4:director
MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1);MATCH (n1:683,795) -[607,136]-[243,383]-> (n4:618,520), (n1:683,795) -[607,136]-[583,231]-> (n2:1,479,294), (n1:613,186) -[2,464,941]-[44,965]-> (n3:89,121) WHERE (n3.78,922) RETURN count(n1);n3:sci_fi
MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1);MATCH (n2:248,066) -[1,413,197]-[152,376]-> (n1:618,520), (n2:99,799) -[628,532]-[531,594]-> (n3:1,984,332), (n2:248,066) -[1,413,197]-[152,376]-> (n4:618,520) WHERE (n1.18,807) RETURN count(n1);n2:soundtrack
MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1);MATCH (n1:76,607) -[955,171]-[115,827]-> (n3:293,467), (n1:76,607) -[955,171]-[115,827]-> (n2:293,467), (n1:76,607) -[955,171]-[109,847]-> (n4:312,629) WHERE (n2.22,499) RETURN count(n1);n1:music_department
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";MATCH (n2:1,263,984) -[11,460,681]-[472,757]-> (n1:124,666), (n2:1,263,984) -[11,460,681]-[8,160,487]-> (n3:1,984,332) WHERE (n1.116,975) RETURN count(n1);n1:thriller
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";MATCH (n4:248,066) -[1,413,197]-[55,619]-> (n3:149,470), (n4:248,066) -[1,413,197]-[334,011]-> (n2:1,479,294), (n4:76,607) -[955,171]-[531,594]-> (n1:1,984,332) WHERE (n3.492,210) RETURN count(n1);n3:mystery
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";MATCH (n3:767,812) -[8,169,427]-[5,776,115]-> (n1:1,479,294), (n3:613,186) -[3,852,407]-[472,757]-> (n4:124,666), (n3:99,799) -[3,260,775]-[559,487]-> (n2:155,302) WHERE (n2.492,210) RETURN count(n1);n3:soundtrack
MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1);MATCH (n2:767,812) -[8,169,427]-[1,017,184]-> (n4:330,135), (n2:767,812) -[8,169,427]-[1,017,184]-> (n1:330,135), (n2:767,812) -[8,169,427]-[325,339]-> (n3:89,121) WHERE (n2.3,470) RETURN count(n1);n3:sci_fi
MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1);MATCH (n1:613,186) -[3,852,407]-[827,125]-> (n4:618,520), (n1:683,795) -[3,960,419]-[1,199,835]-> (n2:356,267), (n1:613,186) -[3,852,407]-[827,125]-> (n3:618,520) WHERE (n1.3,453,973) RETURN count(n1);n2:music
MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1);MATCH (n2:1,263,984) -[11,460,681]-[8,160,487]-> (n3:1,984,332), (n2:1,263,984) -[11,460,681]-[763,616]-> (n1:225,632) WHERE (n2.2,711 AND n2.2,688) RETURN count(n1);n1:game_show
